"predicate","response"
"useful",0.12
"crappy",0.1
"former",0.5
"worldwide",0.6
"moral",0.24
"Pakistani",0.72
"alternative",0.56
"entire",0.58
"international",0.6
"annual",0.59
"Muslim",0.65
"integrated",0.7
"tricky",0.17
"lifelong",0.78
"lone",0.72
"hard",0.07
"unique",0.58
"political",0.54
"unusual",0.37
"persistent",0.2
"dark",0.78
"appetizing",0.08
"excellent",0.04
"light",0.6
"magnetic",0.66
"big",0.93
"painful",0.96
"easy",0.92
"eastern",0.03
"tricky",0.97
"Mexican",0.02
"above",0.99
"French",0.03
"potent",0.99
"legal",0.53
"black",0.96
"fluid",0.52
"tripartite",0.5
"near",0.99
"useless",0.98
"direct",0.96
"logical",0.97
"tall",0.98
"romantic",0.97
"difficult",0.99
"fitted",0.98
"renal",0.03
"rural",0.01
"economic",0.59
"sophisticated",0.84
"territorial",0.49
"musical",0.27
"civic",0.32
"military",0.02
"fancy",0.98
"Afghan",0.28
"handsome",0.91
"optical",0.25
"Christian",0.76
"front",0.19
"unlawful",0.74
"Russian",0.71
"scratchy",0.82
"central",0.35
"male",0.91
"light",0.77
"democratic",0.85
"local",0.76
"loving",0.91
"moral",0.9
"great",0.97
"unknown",0.31
"fancy",0.73
"common",0.16
"absolute",0.22
"horrendous",0.85
"pertinent",0.2
"experienced",0.84
"lovely",0.75
"hard",0.88
"young",0.95
"nearby",0.74
"tall",0.91
"imposing",0.91
"organized",0.82
"blue",0.69
"scientific",0.25
"exact",0.07
"monthly",0.03
"chemical",0.44
"dead",0.28
"vegetarian",0.14
"efficient",0.7
"potent",0.96
"entire",0.08
"romantic",0.93
"total",0.03
"free",0.15
"plastic",0.38
"huge",0.82
"alternative",0.6
"legit",0.75
"present",0.52
"good",0.96
"mobile",0.66
"vulnerable",0.92
"Malaysian",0.06
"crappy",0.95
"organized",0.8
"whole",0.04
"serious",0.87
"close",0.91
"tall",0.94
"amazing",1
"vast",0.36
"cultural",0.75
"federal",0.46
"disgusting",0.91
"male",0.4
"eastern",0.17
"Palestinian",0.32
"handsome",0.91
"conventional",0.8
"British",0.56
"burdensome",0.93
"friendly",0.93
"military",0.47
"notable",0.79
"happy",0.96
"universal",0.3
"mobile",0.44
"above",0.11
"musical",0.65
"high",0.55
"light",0.66
"uninterrupted",0.73
"plastic",0.29
"inside",0.51
"tiny",0.51
"bad",0.86
"ideological",0.56
"substantial",0.69
"nice",0.9
"lucky",0.92
"prime",0.57
"calm",0.83
"white",0.58
"fine",0.76
"substantive",0.74
"tight",0.65
"dear",0.77
"tactical",0.4
"religious",0.58
"local",0.79
"national",0.4
"kindly",0.78
"tripartite",0.41
"Asian",0.53
"mobile",0.58
"disgusting",0.34
"German",0.72
"rude",0.32
"ancient",0.22
"full",0.26
"senior",0.2
"qualified",0.68
"global",0.47
"final",0.49
"notable",0.41
"electric",0.46
"top",0.33
"nice",0.62
"physical",0.54
"Afghan",0.59
"crappy",0.32
"expensive",1
"funny",1
"nearby",0
"elaborate",0.14
"terrorist",0.16
"strong",0.3
"above",0
"important",0.59
"Australian",0
"civic",0
"clean",1
"national",0
"traditional",0.5
"chronic",0
"cute",1
"final",0
"Thai",0
"Moslem",0.49
"imminent",0
"near",0
"spontaneous",0
"conventional",0.48
"personal",1
"old",0.49
"significant",1
"tremendous",1
"organized",1
"disgusting",1
"wet",0
"painful",1
"different",0.68
"presidential",0.04
"financial",0.05
"Mexican",0.06
"huge",0.6
"psychological",0.2
"tight",0.57
"mountainous",0.23
"deliberate",0.65
"final",0.14
"modern",0.59
"regional",0.4
"front",0.66
"persistent",0.61
"local",0.36
"free",0.63
"prime",0.54
"dear",0.58
"Moslem",0.49
"wide",0.4
"early",0.66
"unique",0.61
"international",0.29
"notable",0.67
"virtual",0.37
"additional",0.5
"great",0.67
"global",0.4
"authentic",0.65
"blind",0.06
"best",0.75
"potent",0.76
"handsome",0.99
"beautiful",0.99
"exact",0.05
"Cuban",0.01
"sweet",0.95
"large",1
"moral",0.7
"select",0.02
"honest",0.94
"imposing",0.48
"blind",0.09
"soft",0.8
"Vietnamese",0.05
"golden",0.15
"mental",0.84
"logical",0.81
"militant",0.27
"persistent",0.79
"fitted",0.25
"white",0.26
"substantial",0.82
"terrorist",0.27
"fat",0.79
"real",0.33
"renal",0.57
"manned",0.54
"top",0.33
"Australian",0.16
"next",0.05
"dead",0.04
"close",0.66
"personal",0.71
"fundamental",0.75
"tripartite",0.03
"indoor",0.07
"ordinary",0.52
"imminent",0.27
"scientific",0.68
"potent",0.69
"different",0.04
"dominant",0.45
"Mediterranean",0.15
"civic",0.18
"best",0.83
"coincidental",0.82
"diligent",0.76
"clean",0.53
"schizophrenic",0.35
"ecological",0.31
"mental",0.32
"top",0.5
"cortical",0.07
"sufficient",0.55
"internal",0.06
"high",0.5
"corporate",0.05
"brave",0.72
"actual",0.03
"female",0.02
"optical",0
"vulnerable",0.97
"disgusting",0.99
"unique",0
"moral",0.98
"upcoming",0.05
"flashy",0.96
"coastal",0.03
"possible",0.98
"eerie",0.95
"correct",0.04
"bright",0.01
"useful",0.98
"special",0.95
"diligent",0.98
"uninterrupted",0.01
"poor",0
"cute",0.97
"imminent",0.01
"nuclear",0.45
"huge",0.66
"handsome",0.76
"private",0.21
"bland",0.86
"personal",0.98
"professional",0
"dear",0.08
"bad",0.71
"Mediterranean",0.01
"persistent",0.7
"typical",0.52
"technical",0
"daily",0.05
"necessary",0.45
"political",0.97
"waterproof",0.02
"useless",0.94
"geometric",0.15
"happy",0.9
"asymmetrical",0.01
"schizophrenic",0.51
"Australian",0.04
"past",0.04
"German",0.06
"minor",0.87
"democratic",0.91
"religious",0.72
"eminent",0.53
"substantial",0.61
"close",0.03
"difficult",0.42
"disgruntled",0.63
"smooth",0.43
"wrong",0.46
"worldwide",0.1
"ordinary",0.61
"authentic",0.49
"Cuban",0.03
"yellow",0.02
"dark",0.26
"vast",0.6
"outer",0.14
"fanatic",0.54
"top",0.07
"monthly",0
"tripartite",0.19
"manned",0.07
"British",0.06
"classical",0.52
"lone",0.07
"wealthy",0.58
"Sicilian",0.08
"Lebanese",0.08
"personal",0.7
"yellow",0
"Parisian",0.1
"French",0.08
"historical",0.29
"shrill",0.57
"worldwide",0.21
"prime",0.3
"related",0.47
"private",0.57
"vegetarian",0.38
"negative",0.52
"chemical",0.55
"little",0.5
"vulnerable",0.68
"certain",0.51
"chronic",0.19
"parliamentary",0.35
"ulterior",0.72
"easy",0.89
"imminent",0.67
"light",0.65
"above",0.17
"German",0.26
"common",0.85
"Canadian",0.33
"veritable",0.69
"private",0.38
"public",0.22
"difficult",0.82
"efficient",0.69
"near",0.86
"immediate",0.52
"shrill",0.42
"sunny",0.29
"square",0.16
"orthographic",0.11
"special",0.67
"democratic",0.26
"vast",0.86
"vulnerable",0.57
"hopeless",0.7
"related",0.3
"traditional",0.36
"little",0.84
"large",0.8
"public",0.26
"dark",0.68
"deliberate",0.67
"long",0.77
"naval",0.5
"tight",0.66
"militant",0.64
"spontaneous",0.67
"vital",0.53
"asymmetrical",0.17
"electoral",0.6
"corporate",0.37
"past",0.63
"European",0.31
"negative",0.84
"magnetic",0.51
"black",0.58
"forceful",0.85
"tactical",0.73
"lovely",0.81
"Australian",0.14
"entire",0.12
"short",0.75
"experienced",0.54
"great",0.68
"fluid",0.52
"musical",0.48
"Muslim",0.28
"pertinent",0.61
"Moslem",0.24
"electoral",0.29
"enormous",0.82
"friendly",0.76
"young",0.18
"Cuban",0.15
"foreign",0.12
"pleasant",0.85
"live",0.13
"above",0.14
"vegetarian",0.12
"upcoming",0.14
"desperate",0.89
"terrorist",0.05
"coincidental",0.78
"ecological",0.02
"fabulous",0.82
"economic",0
"next",0.04
"ulterior",0.81
"Christian",0.06
"political",0.07
"imminent",0.06
"ordinary",0.82
"moral",0.81
"serious",0.78
"imposing",0.79
"corrupt",0.77
"public",0.02
"white",0
"vital",0.86
"actual",0.86
"asymmetrical",0.25
"excellent",0.93
"wide",0.17
"high",0.09
"senior",0.5
"horrible",0.96
"Christian",0.04
"annual",0.03
"wonderful",0.88
"usual",0.98
"Australian",0.02
"graphic",0.65
"male",0.04
"difficult",0.98
"fine",0.96
"vital",0.63
"wealthy",0.51
"bad",0.96
"tricky",0.86
"psychological",0.29
"brave",0.61
"early",0.38
"national",0.05
"pleasant",0.62
"serious",0.7
"nasty",0.88
"crappy",0.87
"numerous",0.56
"optical",0.34
"easy",0.5
"former",0.14
"great",0.62
"electric",0.47
"civic",0.36
"common",0.23
"friendly",0.57
"Parisian",0.13
"classical",0.38
"present",0.24
"electoral",0.16
"creative",0.51
"naval",0.05
"vital",0.39
"horrible",0.39
"Christian",0.15
"collective",0.33
"double",0.09
"maritime",0.13
"tripartite",0.51
"medical",0.18
"overall",0.21
"organized",0.39
"delicious",0.8
"notable",0.63
"fluid",0.3
"exact",0.51
"indoor",0.19
"ancient",0.37
"disgruntled",0.6
"inaugural",0
"total",0
"manned",0.56
"fancy",1
"crappy",1
"integral",0.32
"bright",0.5
"wireless",0.02
"accurate",0.03
"vulnerable",0.42
"main",0.45
"experienced",0.22
"handsome",1
"tricky",0.92
"diligent",0.76
"scientific",0.01
"central",0.03
"Pakistani",0
"foreign",0.04
"enormous",0.99
"Palestinian",0.04
"amazing",0.92
"chemical",0.04
"dirty",0.93
"front",0.04
"fine",0.99
"physical",0.02
"imposing",0.82
"present",0.53
"proper",0.96
"eerie",0.76
"traditional",0.45
"common",0.89
"good",0.95
"religious",1
"vegetarian",0.78
"whole",0.03
"southwestern",0.97
"best",0.84
"slow",0
"economic",0.99
"political",0.97
"Israeli",0.95
"limited",0.92
"smart",0.82
"out",0.89
"correct",0.92
"horrible",0.55
"vested",0.53
"fantastic",0.68
"high",0.01
"fresh",0.01
"lazy",0.01
"dirty",0.04
"chronic",0.44
"wet",0.02
"intractable",0.11
"simultaneous",0.94
"ulterior",0.97
"present",0
"fantastic",0.93
"total",0.01
"conventional",0.53
"Thai",0.26
"false",0.01
"major",0.54
"unusual",0.64
"diligent",0.7
"painful",0.76
"popular",0.54
"terrorist",0.13
"tremendous",0.86
"psychological",0.48
"Lebanese",0.18
"fanatic",0.6
"Israeli",0.17
"political",0.51
"poor",0.65
"ulterior",0.51
"unique",0.8
"tripartite",0.47
"professional",0.55
"expensive",0.8
"eerie",0.6
"military",0.31
"Palestinian",0.23
"tiny",0.68
"bland",0.73
"fake",0.63
"murderous",0.28
"local",0.69
"manned",0.45
"excellent",0.81
"out",0.14
"inside",0.1
"wealthy",0.8
"outstanding",1
"global",0.15
"significant",0.72
"solar",0.21
"slow",0.81
"fresh",0.11
"cultural",0.27
"parochial",0.39
"Afghan",0
"romantic",0.64
"useless",0.7
"preposterous",0.28
"high",0.14
"internal",0.31
"former",0.22
"optical",0.22
"bland",0.7
"Sicilian",0.15
"potent",0.29
"pleasant",0.35
"proper",0.21
"new",0.15
"Thai",0
"human",0
"bland",0.73
"little",0.67
"historical",0.1
"Bangladeshi",0.06
"specific",0.75
"commercial",0.15
"funny",0.91
"creative",0.83
"pleasant",0.85
"real",0.4
"minor",0.88
"magnetic",0.69
"romantic",0.87
"diligent",0.75
"imminent",0.28
"fundamentalist",0.16
"local",0.35
"ecological",0.1
"square",0.02
"innocent",0.74
"Indian",0.19
"Israeli",0.09
"authentic",0.78
"regional",0.3
"radical",0.82
"crappy",1
"electrical",0.18
"negative",0.79
"military",0.08
"affluent",0.66
"front",0.1
"potent",0.69
"worldwide",0.17
"murderous",0.15
"Japanese",0
"whole",0.54
"golden",0.72
"integrated",0.35
"American",0.67
"dead",0.32
"warm",0.48
"desperate",0.66
"close",0.74
"severe",0.57
"political",0.9
"amazing",0.82
"conversational",0.8
"logical",0.75
"bland",0.63
"local",0.74
"shrill",0.5
"dirty",0.66
"square",0.33
"potential",0.25
"inside",0.16
"tiny",0.59
"scientific",0.71
"Asian",0.12
"northern",0.21
"free",0.51
"bright",0.59
"proper",0.35
"real",0.73
"inner",0.16
"political",0.17
"strategic",0.02
"forceful",1
"Israeli",1
"yellow",0
"confidential",0
"important",1
"only",0
"difficult",1
"former",0
"local",0.06
"top",0.01
"related",0
"vegetarian",0
"potential",0
"deliberate",0.08
"worldwide",1
"painful",1
"Lebanese",0
"wonderful",1
"handsome",1
"live",0.01
"amazing",1
"spiritual",1
"efficient",0.66
"musical",1
"white",0.16
"maritime",0
"logical",0.68
"monthly",0
"lazy",0.84
"fine",0.91
"solar",0
"potent",0.48
"affluent",0.37
"amazing",0.75
"particular",0.51
"huge",0.6
"national",0
"dark",0.09
"civil",0.64
"wet",0.08
"nasty",0.8
"forceful",0.57
"multiple",0.01
"integral",0.52
"main",0.52
"Asian",0
"unlawful",0.1
"qualified",0.5
"cold",0.53
"fleeting",0.5
"important",0.67
"related",0.53
"Thai",0
"early",0.54
"particular",0.24
"average",0.34
"useful",0.83
"black",0.02
"high",0.84
"flashy",0.97
"out",0.2
"ideological",0.88
"mental",0.69
"cultural",0.56
"innocent",0.77
"bloody",0.17
"conventional",0.54
"severe",0.69
"smooth",0.73
"uninterrupted",0.33
"affluent",0.7
"outer",0.28
"logical",0.77
"former",0.08
"tight",0.63
"wonderful",0.84
"bland",0.98
"young",0.84
"only",0.05
"Chinese",0.01
"commercial",0.31
"potent",0.8
"Muslim",0.04
"nice",0.79
"sudden",0.08
"custom",0.88
"cultural",0.92
"disgruntled",0.77
"fundamental",0.9
"personal",0.95
"recent",0.84
"natural",0.15
"chronic",0.17
"political",0.71
"burdensome",0.88
"parochial",0.85
"Parisian",0.14
"Christian",0.79
"notable",0.92
"Moslem",0.14
"fake",0.1
"warm",0.73
"Mexican",0.15
"handsome",0.82
"rude",0.88
"certain",0.08
"murderous",0.3
"flashy",0.88
"confidential",0.04
"Muslim",0.73
"wide",0.89
"high",0.85
"electoral",0.07
"unknown",0.82
"renal",0.02
"poor",0.51
"mental",0.12
"short",0.2
"average",0.5
"popular",0.75
"wonderful",0.82
"preposterous",0.83
"ordinary",0.84
"tripartite",0.02
"painful",0.33
"collective",0.14
"simultaneous",0.13
"ecological",0.21
"kindly",0.82
"integral",0.47
"best",1
"excellent",0.91
"vast",0.86
"international",0.16
"sweet",0.76
"tremendous",0.89
"right",0.83
"fabulous",0.88
"imposing",0.71
"annual",0
"rude",0.77
"interim",0.18
"vital",0.25
"serious",0.66
"upcoming",0.69
"imposing",0.54
"Mexican",0.15
"annual",0.08
"ideological",0.59
"satisfactory",0.8
"clean",0.45
"Australian",0.06
"fine",0.62
"electoral",0.12
"planetary",0.11
"ecological",0.29
"useless",0.78
"smooth",0.84
"qualified",0.87
"happy",0.99
"specific",0.35
"graphic",0.59
"disgusting",0.84
"substantial",0.88
"golden",0.53
"present",0.18
"proper",0.6
"Islamic",0.19
"fat",0.78
"best",1
"bright",0.63
"amazing",0.85
"correct",0.48
"efficient",0.62
"accurate",0.15
"negative",0.41
"entire",0.03
"tactical",0.25
"eminent",0.45
"psychological",0.46
"simultaneous",0.19
"custom",0.8
"Jamaican",0.1
"long",0.81
"substantive",0.82
"international",0.18
"urgent",0.86
"imposing",0.84
"top",0.25
"irate",0.73
"maritime",0.12
"horrible",0.95
"electric",0.06
"female",0.26
"sweet",0.66
"plastic",0.04
"conventional",0.66
"bloody",0.19
"Muslim",0.07
"personal",0.16
"minor",0.81
"dead",0.08
"calm",0.7
"southwestern",0.13
"popular",1
"legal",0.02
"near",0.78
"significant",0.95
"beautiful",0.93
"integrated",0.4
"hopeless",0.86
"Moslem",0.15
"outer",0.32
"light",0.76
"fitted",0.66
"foreign",0.15
"unknown",0.79
"vegetarian",0.14
"warm",0.79
"friendly",0.77
"cultural",0.51
"spontaneous",0.8
"Australian",0
"religious",0.75
"temporary",0.76
"fundamentalist",0.74
"notable",0.74
"eastern",0
"yellow",0
"expensive",0.91
"double",0.22
"major",0.81
"collective",0.15
"handsome",1
"outer",0.56
"numerous",0.26
"strategic",0.28
"traditional",0.77
"plastic",0.22
"possible",0.73
"plain",0.72
"accurate",0.25
"fabulous",0.27
"lone",0.64
"sweet",0.73
"Muslim",0.13
"new",0.71
"bad",0.18
"sick",0.27
"proper",0.7
"musical",0.24
"substantive",0.79
"typical",0.16
"economic",0.76
"great",0.72
"sufficient",0.67
"Italian",0.2
"British",0.25
"useful",0.76
"wireless",0.74
"actual",0.24
"sunny",0.69
"uninterrupted",0.71
"internal",0.69
"classical",0.97
"nasty",0.94
"total",0.02
"unusual",0.91
"Muslim",0.06
"strong",0.96
"electoral",0.04
"official",0.88
"corporate",0.05
"rude",0.94
"fleeting",0.94
"regional",0.05
"crappy",0.96
"tiny",0.94
"entire",0.04
"kindly",0.95
"parochial",0.06
"hopeless",0.95
"efficient",0.96
"young",0.95
"substantial",0.96
"dead",0.05
"multiple",0.05
"negative",0.95
"burdensome",0.95
"silky",0.06
"unlawful",0.06
"technical",0.96
"dark",0.02
"personal",0.96
"lovely",0.09
"ecological",0.05
"confidential",0.58
"virtual",0.1
"wet",0.1
"optical",0.13
"Iraqi",0.92
"ancient",0.16
"particular",0.83
"religious",0.83
"innocent",0.77
"appetizing",0.86
"high",0.52
"sunny",0.11
"male",0.04
"legal",0.09
"terrorist",0.88
"entire",0.87
"blind",0.18
"indoor",0.18
"social",0.87
"bright",0.07
"small",0.07
"smart",0.94
"deliberate",0.87
"right",0.11
"funny",0.08
"corporate",0.12
"geometric",0.11
"black",0.07
"hopeless",0.78
"traditional",0.48
"actual",0
"negative",0.82
"solar",0
"multiple",0.37
"fitted",0.5
"urgent",0.8
"international",0.13
"inside",0.59
"interesting",0
"planetary",0.09
"American",0.66
"possible",0.82
"nearby",0.84
"male",0
"simple",0.74
"Egyptian",0
"Cuban",0
"public",0.78
"cute",1
"senior",0.78
"past",0.85
"diligent",0.84
"scientific",0.63
"front",0.53
"useful",0.75
"Muslim",0.13
"alternative",0.78
"moral",1
"regional",0.93
"easy",0.16
"high",0.13
"bloody",0.73
"front",0.07
"foreign",0.85
"amazing",0.86
"militant",0.5
"nice",0.17
"annual",0.08
"plain",0.2
"light",0.14
"new",0.25
"terrorist",0.73
"fundamentalist",0.3
"tripartite",0.02
"sufficient",0.23
"final",0.01
"Republican",0.35
"mountainous",0.21
"negative",0
"great",0.76
"Chinese",0.1
"outstanding",0.14
"old",0.23
"smooth",0.16
"slow",0.69
"schizophrenic",0.18
"electoral",0.1
"historical",0.08
"wonderful",0.75
"elaborate",0.62
"tall",0.5
"best",0.77
"mountainous",0.18
"lonely",0.56
"authentic",0.32
"white",0.01
"great",0.77
"tiny",0.37
"clean",0.2
"negative",0.7
"good",0.77
"Islamic",0.16
"worldwide",0.26
"maritime",0.15
"Mediterranean",0.1
"Japanese",0.27
"minor",0.66
"ulterior",0.6
"imposing",0.5
"smooth",0.26
"crappy",0.74
"Lebanese",0.2
"overall",0.35
"vital",0.67
"creative",0.78
"actual",0.28
"fanatic",0.68
"moral",0.82
"proper",0.66
"territorial",0.39
"lone",0.49
"potential",0.65
"sufficient",0.37
"universal",0.87
"Muslim",0.57
"early",0.89
"terrorist",0.15
"tripartite",0.64
"lovely",0.96
"schizophrenic",0.52
"old",0.24
"long",0.72
"parochial",0.94
"positive",0.81
"polygamous",0.52
"Afghan",0.92
"possible",0.58
"plastic",0.82
"worldwide",0.27
"monthly",0.58
"lazy",0.8
"musical",0.19
"global",0.57
"dominant",0.89
"rural",0.29
"strategic",0.59
"funny",0.83
"geometric",0.13
"fake",0.98
"militant",0.98
"nice",0.49
"unusual",0.97
"short",0.52
"alternative",0.48
"unlawful",0.98
"dark",0.97
"crappy",0.98
"Sicilian",0.52
"Italian",0.52
"legit",0.01
"irate",0.54
"male",0.95
"temporary",0.48
"universal",0.52
"vast",0.49
"social",0.97
"vegetarian",0.97
"eastern",0.52
"horrendous",0.98
"warm",0.55
"yellow",0.94
"ancient",0.99
"possible",0.03
"serious",0.5
"negative",0.51
"lovely",0.49
"wrong",0.96
"single",0.5
"irate",0.74
"Asian",0.22
"hopeless",0.66
"economic",0.24
"high",0.25
"dark",0.81
"fundamental",0.47
"best",0.82
"expensive",0.18
"mental",0.73
"southwestern",0.7
"cheap",0.89
"chemical",0.42
"ecological",0.27
"popular",0.88
"little",0.75
"wide",0.83
"European",0.43
"near",0.61
"aggressive",0.72
"Muslim",0.27
"human",0.11
"close",0.83
"official",0.44
"natural",0.45
"poor",0.76
"potential",0.4
"organized",0.38
"final",0.73
"useful",0.83
"ordinary",0.81
"American",0.26
"Asian",0.19
"special",0.79
"internal",0.37
"lazy",0.63
"classical",0.15
"fond",0.27
"French",0.25
"temporary",0.61
"early",0.42
"exquisite",0.66
"free",0.15
"select",0.12
"innocent",0.32
"European",0.19
"new",0.56
"important",0.71
"large",0.74
"best",0.81
"Japanese",0.13
"Republican",0.16
"disgusting",0.74
"Lebanese",0.1
"professional",0.26
"cute",0.84
"female",0.08
"full",0.74
"economic",0.12
"brave",0.66
"elaborate",0.26
"legal",0.64
"tactical",0.73
"satisfactory",0.48
"vital",0.74
"orthographic",1
"spontaneous",0.73
"worldwide",1
"deliberate",0.6
"unusual",0.31
"integral",0.7
"nuclear",1
"whole",1
"Australian",1
"affluent",0.37
"vulnerable",0.44
"lonely",0.3
"expensive",0.45
"territorial",0.46
"delicious",0
"diligent",0.18
"Lebanese",1
"similar",0.78
"cold",0.54
"early",0.69
"French",1
"sudden",0.77
"honest",0.71
"blind",0.83
"public",0.8
"fancy",0.45
"select",0.48
"medical",0.07
"upcoming",0.94
"exquisite",0.46
"nasty",0.5
"excellent",0.54
"entire",0.03
"Jamaican",0.08
"lifelong",0.05
"satisfactory",0.09
"coastal",0.02
"tall",0.11
"unlawful",0.1
"common",0.04
"kindly",0.09
"modern",0.32
"lone",0.36
"regional",0.41
"private",0.54
"spiritual",0.63
"corrupt",0.92
"temporary",0.55
"desperate",0.44
"legit",0.59
"irate",0.49
"Iraqi",0.8
"dear",0.31
"electrical",0.66
"Indian",0.55
"next",0.19
"sophisticated",0.9
"similar",0.21
"dirty",0.78
"medical",0.5
"cortical",0.69
"fundamental",0.58
"yellow",0.27
"wrong",0.77
"bland",0.75
"commercial",0.12
"ecological",0.59
"national",0.49
"biological",0.67
"rude",0.71
"fleeting",0.49
"prime",0.52
"cute",0.81
"adorable",0.84
"tremendous",0.82
"social",0.53
"tricky",0.73
"useful",0.78
"fantastic",0.79
"poor",0.91
"pleasant",0.82
"tactical",0.45
"kindly",0.73
"qualified",0.73
"lucky",0.74
"full",0.41
"tripartite",0
"new",0.54
"disgruntled",0.77
"short",0.87
"whole",0.18
"exquisite",0.81
"delicious",1
"nearby",0.75
"senior",0.36
"vested",0.19
"critical",0.07
"unlawful",0.17
"male",0
"easy",0.75
"outstanding",0.77
"ulterior",0.59
"covert",0.72
"appetizing",1
"close",0.59
"cold",0.68
"integrated",0.18
"positive",0.59
"limited",0.19
"Afghan",0
"Mediterranean",0
"militant",0.73
"confidential",0.7
"psychological",0.65
"fancy",0.83
"tripartite",0.18
"Thai",0
"high",0.19
"eerie",0.61
"waterproof",0.02
"little",0.08
"conventional",0.56
"poor",0.71
"Parisian",0.03
"geometric",0.04
"usual",0.28
"limited",0.75
"technical",0.04
"small",0.71
"corporate",0.09
"Asian",0.05
"free",0.03
"worldwide",0.03
"parochial",0.05
"French",0.03
"lonely",0.66
"inaugural",0.04
"golden",0.14
"unique",0.85
"interim",0.51
"inside",0.07
"spiritual",0.68
"soft",0.66
"tactical",0.34
"significant",0.83
"little",0.47
"hopeless",0.61
"live",0.54
"organized",0.64
"critical",0.44
"only",0.62
"Islamic",0.39
"African",0.67
"antique",0.3
"usual",0.36
"disgruntled",0.5
"bland",0.6
"certain",0.71
"multiple",0.81
"substantive",0.19
"unknown",0.25
"northern",0.45
"wonderful",0.48
"slow",0.65
"honest",0.31
"nasty",0.1
"final",0.39
"yellow",0.54
"white",0.76
"chronic",0.67
"integrated",0.87
"conventional",0.38
"young",0.52
"electoral",0.27
"beautiful",0.42
"honest",0.01
"internal",0.07
"difficult",0.63
"right",0.95
"maritime",0.01
"covert",0.62
"Thai",0
"black",0
"militant",0.6
"bad",0.95
"personal",0.68
"parliamentary",0.04
"huge",0.65
"related",0.55
"European",0.02
"integral",0.8
"disgruntled",0.06
"veritable",0.07
"sufficient",0.96
"planetary",0.02
"specific",0.04
"potential",0.78
"exquisite",0.92
"ordinary",0.81
"proper",0.81
"painful",0.83
"fresh",0.8
"Islamic",0.02
"technical",0.03
"serious",0.3
"exquisite",1
"lonely",0.52
"Parisian",0
"strong",0.37
"possible",0.51
"upcoming",0.21
"ideological",0.58
"efficient",0.32
"past",0.62
"eerie",0.32
"biological",0.65
"great",0.36
"fundamentalist",0.64
"Chinese",0.73
"technical",0.2
"musical",0.48
"top",0.22
"integrated",0.6
"chemical",0.87
"Italian",0.24
"Iranian",0
"double",0.22
"vast",0.58
"prime",0.3
"ancient",0.31
"out",0.68
"Vietnamese",0.36
"temporary",0.5
"sudden",0.31
"satisfactory",0.56
"Parisian",0.36
"exact",0.03
"electrical",0.43
"young",0.84
"fancy",0.88
"former",0.55
"central",0.44
"present",0.57
"democratic",0.34
"hard",0.82
"murderous",0.47
"white",0.74
"European",0.46
"conventional",0.39
"similar",0.57
"commercial",0.54
"notable",0.32
"calm",0.46
"great",0.32
"potential",0.55
"fresh",0.37
"terrorist",0.59
"Mexican",0.55
"cultural",0.59
"numerous",0.5
"major",0.78
"multiple",0.88
"new",0.6
"black",0.61
"American",0.12
"cultural",0.1
"European",0.02
"upcoming",0.78
"intractable",0.01
"territorial",0.04
"historical",0.02
"total",0.03
"affluent",0.66
"popular",0.98
"manned",0.03
"major",0.01
"painful",0.91
"fresh",0.25
"basic",0.24
"efficient",0.18
"ordinary",0.98
"wealthy",0.14
"useless",0.99
"preposterous",0.99
"international",0.02
"custom",0.12
"overall",0.01
"multiple",0.03
"former",0.03
"exquisite",0.99
"flashy",0.5
"great",0.93
"wet",0.02
"handsome",1
"inner",0.02
"former",0.55
"proper",0.52
"murderous",0.43
"psychological",0.57
"golden",0.66
"blue",0.57
"cute",0.73
"Republican",0.65
"limited",0.68
"romantic",0.67
"coincidental",0.62
"ancient",0.66
"free",0.72
"daily",0.67
"private",0.67
"vegetarian",0.62
"big",0.62
"political",0.65
"Thai",0.64
"tripartite",0.65
"Asian",0.76
"outstanding",0.66
"fresh",0.65
"southwestern",0.64
"strategic",0.67
"fake",0.67
"parliamentary",0.64
"irate",0.66
"notable",0.64
"double",0.72
"intractable",0.3
"Chinese",0
"exquisite",0.7
"Parisian",0.01
"important",0.97
"imminent",0.44
"authentic",0.49
"actual",0.48
"public",0.31
"lucky",0.89
"square",0.02
"white",0.27
"final",0.22
"electoral",0.34
"former",0.29
"bland",0.97
"single",0.14
"alternative",0.64
"fleeting",0.91
"numerous",0.8
"popular",1
"professional",0.64
"territorial",0.59
"continental",0.65
"scientific",0.15
"uninterrupted",0.37
"bloody",0.56
"correct",0.28
"unique",0.31
"delicious",0.89
"outer",0.34
"small",0.56
"natural",0.49
"orthographic",0
"Iraqi",0.12
"fluid",0.07
"strategic",0.52
"big",0.5
"cultural",0.67
"difficult",0.92
"lone",0.23
"actual",0.17
"professional",0.72
"fresh",0.47
"square",0
"tremendous",0.66
"huge",0.6
"logical",0.52
"imminent",0.27
"whole",0.21
"soft",0.61
"personal",0.57
"correct",0.01
"forceful",0.62
"easy",0.65
"medical",0.3
"real",0.04
"renal",0
"necessary",0.59
"full",0.21
"deliberate",0.49
"regional",0.01
"eastern",0.34
"particular",0.75
"lifelong",0.16
"covert",0.27
"little",0.66
"magnetic",0.17
"alternative",0.51
"vulnerable",0.6
"main",0.66
"public",0.25
"double",0.18
"fancy",0.73
"direct",0.48
"psychological",0.28
"Iraqi",0
"ecological",0.48
"hopeless",0.59
