	condition	predicate	response	slide_number	language	enjoyment	age	gender	education	participant_id	negated	valence	adjective
2	negative	poor	0.19	5	english	1	25	Male	3	23	false	negative	poor
3	negative	unlucky	0.22	6	english	1	25	Male	3	23	false	negative	unlucky
4	NNegative	not unsatisfactory	0.51	7	english	1	25	Male	3	23	true	negative	unsatisfactory
5	negative	uninteresting	0.4	8	english	1	25	Male	3	23	false	negative	uninteresting
6	NPositive	not friendly	0.73	9	english	1	25	Male	3	23	true	positive	friendly
7	NPositive	not polite	0.7	10	english	1	25	Male	3	23	true	positive	polite
8	negative	mean	0.28	11	english	1	25	Male	3	23	false	negative	mean
9	NNegative	not bad	0.61	12	english	1	25	Male	3	23	true	negative	bad
10	NPositive	not happy	0.69	13	english	1	25	Male	3	23	true	positive	happy
11	NNegative	not rude	0.68	14	english	1	25	Male	3	23	true	negative	rude
12	NPositive	not strong	0.67	15	english	1	25	Male	3	23	true	positive	strong
13	negative	frustrating	0.64	16	english	1	25	Male	3	23	false	negative	frustrating
14	negative	short	0.4	17	english	1	25	Male	3	23	false	negative	short
15	positive	accurate	0.35	18	english	1	25	Male	3	23	false	positive	accurate
16	NPositive	not happy	0.64	19	english	1	25	Male	3	23	true	positive	happy
17	NPositive	not possible	0.65	20	english	1	25	Male	3	23	true	positive	possible
18	NPositive	not fair	0.65	21	english	1	25	Male	3	23	true	positive	fair
19	negative	uncertain	0.59	22	english	1	25	Male	3	23	false	negative	uncertain
0	positive	happy	0.76	3	english	1	40	Male	3	24	false	positive	happy
1	NNegative	not mean	0.68	4	english	1	40	Male	3	24	true	negative	mean
2	negative	uncertain	0.16	5	english	1	40	Male	3	24	false	negative	uncertain
3	negative	unhappy	0.72	6	english	1	40	Male	3	24	false	negative	unhappy
4	NNegative	not impolite	0.47	7	english	1	40	Male	3	24	true	negative	impolite
5	NPositive	not interesting	0.91	8	english	1	40	Male	3	24	true	positive	interesting
6	negative	short	0.29	9	english	1	40	Male	3	24	false	negative	short
7	NNegative	not unlucky	0.64	10	english	1	40	Male	3	24	true	negative	unlucky
8	positive	strong	0.29	11	english	1	40	Male	3	24	false	positive	strong
9	negative	useless	0.61	12	english	1	40	Male	3	24	false	negative	useless
10	negative	frustrating	0.83	13	english	1	40	Male	3	24	false	negative	frustrating
11	positive	fair	0.62	14	english	1	40	Male	3	24	false	positive	fair
12	NNegative	not unfriendly	0.42	15	english	1	40	Male	3	24	true	negative	unfriendly
13	positive	rich	0.28	16	english	1	40	Male	3	24	false	positive	rich
14	NPositive	not possible	0.25	17	english	1	40	Male	3	24	true	positive	possible
15	positive	good	0.85	18	english	1	40	Male	3	24	false	positive	good
16	positive	accurate	0.18	19	english	1	40	Male	3	24	false	positive	accurate
17	NPositive	not satisfactory	0.72	20	english	1	40	Male	3	24	true	positive	satisfactory
18	negative	rude	0.37	21	english	1	40	Male	3	24	false	negative	rude
19	NPositive	not long	0.25	22	english	1	40	Male	3	24	true	positive	long
0	NNegative	not unlucky	0.65	3	english	1	66	Female	4	25	true	negative	unlucky
1	negative	bad	0.98	4	english	1	66	Female	4	25	false	negative	bad
2	negative	mean	0.46	5	english	1	66	Female	4	25	false	negative	mean
3	NPositive	not tall	0.49	6	english	1	66	Female	4	25	true	positive	tall
4	negative	impossible	0.86	7	english	1	66	Female	4	25	false	negative	impossible
5	negative	unfair	0.78	8	english	1	66	Female	4	25	false	negative	unfair
6	negative	sad	0.75	9	english	1	66	Female	4	25	false	negative	sad
7	NNegative	not frustrating	0.41	10	english	1	66	Female	4	25	true	negative	frustrating
8	NPositive	not strong	0.49	11	english	1	66	Female	4	25	true	positive	strong
9	positive	certain	0.9	12	english	1	66	Female	4	25	false	positive	certain
10	negative	impolite	0.49	13	english	1	66	Female	4	25	false	negative	impolite
11	NPositive	not happy	0.46	14	english	1	66	Female	4	25	true	positive	happy
12	negative	unsatisfactory	0.9	15	english	1	66	Female	4	25	false	negative	unsatisfactory
13	positive	polite	0.87	16	english	1	66	Female	4	25	false	positive	polite
14	positive	friendly	0.85	17	english	1	66	Female	4	25	false	positive	friendly
15	negative	poor	0.86	18	english	1	66	Female	4	25	false	negative	poor
16	positive	useful	0.56	19	english	1	66	Female	4	25	false	positive	useful
17	NNegative	not uninteresting	0.38	20	english	1	66	Female	4	25	true	negative	uninteresting
18	negative	inaccurate	0.27	21	english	1	66	Female	4	25	false	negative	inaccurate
19	negative	short	0.37	22	english	1	66	Female	4	25	false	negative	short
0	negative	unlucky	0.63	3	English	2	38	Male	4	26	false	negative	unlucky
1	NPositive	not rich	0.49	4	English	2	38	Male	4	26	true	positive	rich
2	negative	rude	0.87	5	English	2	38	Male	4	26	false	negative	rude
3	NPositive	not tall	0.05	6	English	2	38	Male	4	26	true	positive	tall
4	NPositive	not fair	0.29	7	English	2	38	Male	4	26	true	positive	fair
5	NNegative	not mean	0.54	8	English	2	38	Male	4	26	true	negative	mean
6	NNegative	not unhappy	0.89	9	English	2	38	Male	4	26	true	negative	unhappy
7	positive	friendly	0.86	10	English	2	38	Male	4	26	false	positive	friendly
8	positive	accurate	0.84	11	English	2	38	Male	4	26	false	positive	accurate
9	negative	uninteresting	0.78	12	English	2	38	Male	4	26	false	negative	uninteresting
10	NNegative	not unsatisfactory	0.72	13	English	2	38	Male	4	26	true	negative	unsatisfactory
11	negative	weak	0.61	14	English	2	38	Male	4	26	false	negative	weak
12	NNegative	not short	0.65	15	English	2	38	Male	4	26	true	negative	short
13	negative	useless	0.81	16	English	2	38	Male	4	26	false	negative	useless
14	negative	sad	0.9	17	English	2	38	Male	4	26	false	negative	sad
15	NNegative	not impolite	0.89	18	English	2	38	Male	4	26	true	negative	impolite
16	positive	satisfactory	0.77	19	English	2	38	Male	4	26	false	positive	satisfactory
17	negative	uncertain	0.94	20	English	2	38	Male	4	26	false	negative	uncertain
18	NNegative	not bad	0.96	21	English	2	38	Male	4	26	true	negative	bad
19	negative	impossible	0.87	22	English	2	38	Male	4	26	false	negative	impossible
0	NPositive	not accurate	0.24	3	english	1	25	Male	3	27	true	positive	accurate
1	NPositive	not lucky	0.48	4	english	1	25	Male	3	27	true	positive	lucky
2	negative	uninteresting	0.75	5	english	1	25	Male	3	27	false	negative	uninteresting
3	positive	happy	0.8	6	english	1	25	Male	3	27	false	positive	happy
4	NNegative	not poor	0.23	7	english	1	25	Male	3	27	true	negative	poor
5	NPositive	not strong	0.3	8	english	1	25	Male	3	27	true	positive	strong
6	NNegative	not useless	0.39	9	english	1	25	Male	3	27	true	negative	useless
7	negative	short	0.11	10	english	1	25	Male	3	27	false	negative	short
8	NNegative	not impossible	0.14	11	english	1	25	Male	3	27	true	negative	impossible
9	NNegative	not impolite	0.7	12	english	1	25	Male	3	27	true	negative	impolite
10	negative	uncertain	0.56	13	english	1	25	Male	3	27	false	negative	uncertain
11	NPositive	not friendly	0.72	14	english	1	25	Male	3	27	true	positive	friendly
12	positive	fair	0.49	15	english	1	25	Male	3	27	false	positive	fair
13	negative	frustrating	0.68	16	english	1	25	Male	3	27	false	negative	frustrating
14	NNegative	not bad	0.75	17	english	1	25	Male	3	27	true	negative	bad
15	NNegative	not rude	0.63	18	english	1	25	Male	3	27	true	negative	rude
16	NPositive	not kind	0.63	19	english	1	25	Male	3	27	true	positive	kind
17	negative	unsatisfactory	0.26	20	english	1	25	Male	3	27	false	negative	unsatisfactory
18	positive	happy	0.36	21	english	1	25	Male	3	27	false	positive	happy
19	negative	short	0.35	22	english	1	25	Male	3	27	false	negative	short
0	negative	unfriendly	0.63	3	English	2	33	Male	4	28	false	negative	unfriendly
1	NPositive	not good	0.18	4	English	2	33	Male	4	28	true	positive	good
2	negative	unhappy	0.64	5	English	2	33	Male	4	28	false	negative	unhappy
3	NNegative	not uninteresting	0.74	6	English	2	33	Male	4	28	true	negative	uninteresting
4	NNegative	not short	0.33	7	English	2	33	Male	4	28	true	negative	short
5	NNegative	not short	0.5	8	English	2	33	Male	4	28	true	negative	short
6	positive	kind	0.04	9	English	2	33	Male	4	28	false	positive	kind
7	positive	satisfactory	1.0	10	English	2	33	Male	4	28	false	positive	satisfactory
8	negative	rude	0.46	11	English	2	33	Male	4	28	false	negative	rude
9	negative	unfair	0.46	12	English	2	33	Male	4	28	false	negative	unfair
10	NNegative	not poor	0.57	13	English	2	33	Male	4	28	true	negative	poor
11	NPositive	not lucky	0.57	14	English	2	33	Male	4	28	true	positive	lucky
12	positive	polite	0.58	15	English	2	33	Male	4	28	false	positive	polite
13	NNegative	not useless	0.57	16	English	2	33	Male	4	28	true	negative	useless
14	NNegative	not sad	0.59	17	English	2	33	Male	4	28	true	negative	sad
15	negative	uncertain	0.57	18	English	2	33	Male	4	28	false	negative	uncertain
16	NNegative	not impossible	0.58	19	English	2	33	Male	4	28	true	negative	impossible
17	NPositive	not satisfactory	0.42	20	English	2	33	Male	4	28	true	positive	satisfactory
18	positive	strong	0.87	21	English	2	33	Male	4	28	false	positive	strong
19	NNegative	not inaccurate	0.39	22	English	2	33	Male	4	28	true	negative	inaccurate
0	NPositive	not polite	0.62	3	english	1	37	Male	2	29	true	positive	polite
1	NPositive	not happy	0.57	4	english	1	37	Male	2	29	true	positive	happy
2	negative	mean	0.69	5	english	1	37	Male	2	29	false	negative	mean
3	NPositive	not interesting	1.0	6	english	1	37	Male	2	29	true	positive	interesting
4	NNegative	not poor	1.0	7	english	1	37	Male	2	29	true	negative	poor
5	NPositive	not satisfactory	0.97	8	english	1	37	Male	2	29	true	positive	satisfactory
6	positive	useful	0.29	9	english	1	37	Male	2	29	false	positive	useful
7	positive	good	1.0	10	english	1	37	Male	2	29	false	positive	good
8	NPositive	not tall	0.0	11	english	1	37	Male	2	29	true	positive	tall
9	positive	fair	0.7	12	english	1	37	Male	2	29	false	positive	fair
10	NNegative	not inaccurate	0.87	13	english	1	37	Male	2	29	true	negative	inaccurate
11	NNegative	not unfriendly	0.7	14	english	1	37	Male	2	29	true	negative	unfriendly
12	NPositive	not possible	1.0	15	english	1	37	Male	2	29	true	positive	possible
13	positive	long	0.0	16	english	1	37	Male	2	29	false	positive	long
14	NPositive	not strong	1.0	17	english	1	37	Male	2	29	true	positive	strong
15	negative	impolite	0.52	18	english	1	37	Male	2	29	false	negative	impolite
16	negative	unsatisfactory	0.53	19	english	1	37	Male	2	29	false	negative	unsatisfactory
17	NNegative	not unlucky	0.53	20	english	1	37	Male	2	29	true	negative	unlucky
18	NNegative	not sad	0.47	21	english	1	37	Male	2	29	true	negative	sad
19	NPositive	not certain	0.48	22	english	1	37	Male	2	29	true	positive	certain
0	positive	accurate	0.1	3	English	2	22	Male	3	30	false	positive	accurate
1	NPositive	not fair	0.88	4	English	2	22	Male	3	30	true	positive	fair
2	NNegative	not rude	0.85	5	English	2	22	Male	3	30	true	negative	rude
3	positive	happy	0.81	6	English	2	22	Male	3	30	false	positive	happy
4	negative	short	0.66	7	English	2	22	Male	3	30	false	negative	short
5	positive	interesting	0.69	8	English	2	22	Male	3	30	false	positive	interesting
6	NPositive	not kind	0.73	9	English	2	22	Male	3	30	true	positive	kind
7	negative	short	0.58	10	English	2	22	Male	3	30	false	negative	short
8	negative	bad	0.68	11	English	2	22	Male	3	30	false	negative	bad
9	negative	useless	0.7	12	English	2	22	Male	3	30	false	negative	useless
10	positive	strong	0.53	13	English	2	22	Male	3	30	false	positive	strong
11	NNegative	not unlucky	0.71	14	English	2	22	Male	3	30	true	negative	unlucky
12	negative	sad	0.53	15	English	2	22	Male	3	30	false	negative	sad
13	negative	impossible	0.4	16	English	2	22	Male	3	30	false	negative	impossible
14	negative	uncertain	0.5	17	English	2	22	Male	3	30	false	negative	uncertain
15	negative	poor	0.34	18	English	2	22	Male	3	30	false	negative	poor
16	positive	friendly	0.65	19	English	2	22	Male	3	30	false	positive	friendly
17	NNegative	not impolite	0.67	20	English	2	22	Male	3	30	true	negative	impolite
18	negative	unsatisfactory	0.45	21	English	2	22	Male	3	30	false	negative	unsatisfactory
19	NPositive	not satisfactory	0.48	22	English	2	22	Male	3	30	true	positive	satisfactory
0	negative	short	0.19	3	English 	1	38	Male	2	31	false	negative	short
1	NPositive	not accurate	0.18	4	English 	1	38	Male	2	31	true	positive	accurate
2	negative	mean	0.97	5	English 	1	38	Male	2	31	false	negative	mean
3	NPositive	not interesting	0.88	6	English 	1	38	Male	2	31	true	positive	interesting
4	negative	uncertain	0.54	7	English 	1	38	Male	2	31	false	negative	uncertain
5	negative	bad	0.9	8	English 	1	38	Male	2	31	false	negative	bad
6	NPositive	not useful	0.84	9	English 	1	38	Male	2	31	true	positive	useful
7	negative	unhappy	0.04	10	English 	1	38	Male	2	31	false	negative	unhappy
8	NNegative	not sad	0.18	11	English 	1	38	Male	2	31	true	negative	sad
9	negative	unfair	0.96	12	English 	1	38	Male	2	31	false	negative	unfair
10	NPositive	not satisfactory	0.54	13	English 	1	38	Male	2	31	true	positive	satisfactory
11	positive	polite	0.93	14	English 	1	38	Male	2	31	false	positive	polite
12	negative	unfriendly	0.96	15	English 	1	38	Male	2	31	false	negative	unfriendly
13	positive	rich	0.52	16	English 	1	38	Male	2	31	false	positive	rich
14	negative	impossible	0.99	17	English 	1	38	Male	2	31	false	negative	impossible
15	NPositive	not polite	0.94	18	English 	1	38	Male	2	31	true	positive	polite
16	negative	unsatisfactory	0.96	19	English 	1	38	Male	2	31	false	negative	unsatisfactory
17	NPositive	not lucky	0.94	20	English 	1	38	Male	2	31	true	positive	lucky
18	NPositive	not tall	0.95	21	English 	1	38	Male	2	31	true	positive	tall
19	positive	strong	0.96	22	English 	1	38	Male	2	31	false	positive	strong
0	NPositive	not interesting	0.7	3	English 	2	68	Male	4	32	true	positive	interesting
1	NPositive	not possible	0.55	4	English 	2	68	Male	4	32	true	positive	possible
2	positive	happy	0.84	5	English 	2	68	Male	4	32	false	positive	happy
3	positive	satisfactory	0.57	6	English 	2	68	Male	4	32	false	positive	satisfactory
4	positive	good	0.59	7	English 	2	68	Male	4	32	false	positive	good
5	negative	rude	0.36	8	English 	2	68	Male	4	32	false	negative	rude
6	NNegative	not unfriendly	0.93	9	English 	2	68	Male	4	32	true	negative	unfriendly
7	NPositive	not long	0.5	10	English 	2	68	Male	4	32	true	positive	long
8	positive	fair	0.18	11	English 	2	68	Male	4	32	false	positive	fair
9	NNegative	not short	0.22	12	English 	2	68	Male	4	32	true	negative	short
10	positive	useful	0.1	13	English 	2	68	Male	4	32	false	positive	useful
11	negative	inaccurate	0.19	14	English 	2	68	Male	4	32	false	negative	inaccurate
12	NPositive	not rich	0.79	15	English 	2	68	Male	4	32	true	positive	rich
13	positive	kind	0.62	16	English 	2	68	Male	4	32	false	positive	kind
14	NPositive	not certain	0.12	17	English 	2	68	Male	4	32	true	positive	certain
15	positive	strong	0.26	18	English 	2	68	Male	4	32	false	positive	strong
16	negative	impolite	0.2	19	English 	2	68	Male	4	32	false	negative	impolite
17	positive	satisfactory	0.16	20	English 	2	68	Male	4	32	false	positive	satisfactory
18	negative	unlucky	0.21	21	English 	2	68	Male	4	32	false	negative	unlucky
19	NNegative	not unhappy	0.67	22	English 	2	68	Male	4	32	true	negative	unhappy
0	NPositive	not happy	0.91	3	English	1	34	Male	1	33	true	positive	happy
1	NPositive	not interesting	0.04	4	English	1	34	Male	1	33	true	positive	interesting
2	positive	strong	0.96	5	English	1	34	Male	1	33	false	positive	strong
3	positive	kind	0.96	6	English	1	34	Male	1	33	false	positive	kind
4	negative	unlucky	0.96	7	English	1	34	Male	1	33	false	negative	unlucky
5	negative	uncertain	0.91	8	English	1	34	Male	1	33	false	negative	uncertain
6	negative	impolite	0.04	9	English	1	34	Male	1	33	false	negative	impolite
7	negative	sad	0.99	10	English	1	34	Male	1	33	false	negative	sad
8	positive	friendly	0.09	11	English	1	34	Male	1	33	false	positive	friendly
9	NNegative	not frustrating	0.07	12	English	1	34	Male	1	33	true	negative	frustrating
10	NNegative	not impossible	0.1	13	English	1	34	Male	1	33	true	negative	impossible
11	NNegative	not bad	0.14	14	English	1	34	Male	1	33	true	negative	bad
12	NNegative	not unsatisfactory	0.23	15	English	1	34	Male	1	33	true	negative	unsatisfactory
13	negative	inaccurate	0.24	16	English	1	34	Male	1	33	false	negative	inaccurate
14	NPositive	not tall	0.17	17	English	1	34	Male	1	33	true	positive	tall
15	NPositive	not fair	0.22	18	English	1	34	Male	1	33	true	positive	fair
16	negative	short	0.68	19	English	1	34	Male	1	33	false	negative	short
17	negative	poor	0.15	20	English	1	34	Male	1	33	false	negative	poor
18	NNegative	not rude	0.19	21	English	1	34	Male	1	33	true	negative	rude
19	positive	useful	0.2	22	English	1	34	Male	1	33	false	positive	useful
0	NNegative	not poor	0.12	3	english	1	34	Male	3	34	true	negative	poor
1	positive	certain	0.11	4	english	1	34	Male	3	34	false	positive	certain
2	negative	unfriendly	0.91	5	english	1	34	Male	3	34	false	negative	unfriendly
3	NPositive	not lucky	0.02	6	english	1	34	Male	3	34	true	positive	lucky
4	positive	happy	0.06	7	english	1	34	Male	3	34	false	positive	happy
5	negative	sad	0.07	8	english	1	34	Male	3	34	false	negative	sad
6	NNegative	not inaccurate	0.1	9	english	1	34	Male	3	34	true	negative	inaccurate
7	positive	long	0.07	10	english	1	34	Male	3	34	false	positive	long
8	negative	weak	0.06	11	english	1	34	Male	3	34	false	negative	weak
9	negative	unfair	0.08	12	english	1	34	Male	3	34	false	negative	unfair
10	NPositive	not possible	0.05	13	english	1	34	Male	3	34	true	positive	possible
11	negative	frustrating	0.08	14	english	1	34	Male	3	34	false	negative	frustrating
12	negative	bad	0.07	15	english	1	34	Male	3	34	false	negative	bad
13	NNegative	not uninteresting	0.06	16	english	1	34	Male	3	34	true	negative	uninteresting
14	NNegative	not short	0.08	17	english	1	34	Male	3	34	true	negative	short
15	positive	kind	0.07	18	english	1	34	Male	3	34	false	positive	kind
16	positive	polite	0.07	19	english	1	34	Male	3	34	false	positive	polite
17	NPositive	not useful	0.06	20	english	1	34	Male	3	34	true	positive	useful
18	NPositive	not polite	0.09	21	english	1	34	Male	3	34	true	positive	polite
19	positive	satisfactory	0.06	22	english	1	34	Male	3	34	false	positive	satisfactory
0	NPositive	not interesting	0.5	3	English	1	20	Female	2	35	true	positive	interesting
1	NPositive	not happy	0.6	4	English	1	20	Female	2	35	true	positive	happy
2	NPositive	not long	0.54	5	English	1	20	Female	2	35	true	positive	long
3	NPositive	not accurate	0.56	6	English	1	20	Female	2	35	true	positive	accurate
4	NNegative	not uncertain	0.57	7	English	1	20	Female	2	35	true	negative	uncertain
5	NNegative	not rude	0.62	8	English	1	20	Female	2	35	true	negative	rude
6	NNegative	not short	0.53	9	English	1	20	Female	2	35	true	negative	short
7	positive	useful	0.26	10	English	1	20	Female	2	35	false	positive	useful
8	negative	unsatisfactory	0.21	11	English	1	20	Female	2	35	false	negative	unsatisfactory
9	NPositive	not lucky	0.59	12	English	1	20	Female	2	35	true	positive	lucky
10	positive	strong	0.24	13	English	1	20	Female	2	35	false	positive	strong
11	NNegative	not unfriendly	0.63	14	English	1	20	Female	2	35	true	negative	unfriendly
12	NPositive	not possible	0.27	15	English	1	20	Female	2	35	true	positive	possible
13	positive	good	0.28	16	English	1	20	Female	2	35	false	positive	good
14	NNegative	not poor	0.55	17	English	1	20	Female	2	35	true	negative	poor
15	positive	satisfactory	0.27	18	English	1	20	Female	2	35	false	positive	satisfactory
16	NPositive	not polite	0.61	19	English	1	20	Female	2	35	true	positive	polite
17	NPositive	not fair	0.23	20	English	1	20	Female	2	35	true	positive	fair
18	NNegative	not mean	0.52	21	English	1	20	Female	2	35	true	negative	mean
19	negative	unhappy	0.52	22	English	1	20	Female	2	35	false	negative	unhappy
0	negative	unfriendly	0.72	3	english	2	39	Male	3	36	false	negative	unfriendly
1	positive	kind	0.4	4	english	2	39	Male	3	36	false	positive	kind
2	NNegative	not impossible	0.22	5	english	2	39	Male	3	36	true	negative	impossible
3	NPositive	not happy	0.23	6	english	2	39	Male	3	36	true	positive	happy
4	NNegative	not sad	0.23	7	english	2	39	Male	3	36	true	negative	sad
5	NNegative	not rude	0.22	8	english	2	39	Male	3	36	true	negative	rude
6	negative	inaccurate	0.04	9	english	2	39	Male	3	36	false	negative	inaccurate
7	positive	satisfactory	0.84	10	english	2	39	Male	3	36	false	positive	satisfactory
8	negative	short	0.11	11	english	2	39	Male	3	36	false	negative	short
9	NNegative	not short	0.12	12	english	2	39	Male	3	36	true	negative	short
10	negative	unlucky	0.86	13	english	2	39	Male	3	36	false	negative	unlucky
11	positive	satisfactory	0.87	14	english	2	39	Male	3	36	false	positive	satisfactory
12	negative	uncertain	0.53	15	english	2	39	Male	3	36	false	negative	uncertain
13	negative	unfair	0.88	16	english	2	39	Male	3	36	false	negative	unfair
14	NNegative	not useless	0.84	17	english	2	39	Male	3	36	true	negative	useless
15	positive	good	0.61	18	english	2	39	Male	3	36	false	positive	good
16	negative	impolite	0.28	19	english	2	39	Male	3	36	false	negative	impolite
17	NNegative	not uninteresting	0.62	20	english	2	39	Male	3	36	true	negative	uninteresting
18	NNegative	not poor	0.24	21	english	2	39	Male	3	36	true	negative	poor
19	NNegative	not weak	0.26	22	english	2	39	Male	3	36	true	negative	weak
0	negative	uncertain	0.55	3	English	1	36	Female	3	37	false	negative	uncertain
1	NPositive	not lucky	0.76	4	English	1	36	Female	3	37	true	positive	lucky
2	NNegative	not unsatisfactory	0.54	5	English	1	36	Female	3	37	true	negative	unsatisfactory
3	NNegative	not inaccurate	0.55	6	English	1	36	Female	3	37	true	negative	inaccurate
4	NNegative	not short	0.39	7	English	1	36	Female	3	37	true	negative	short
5	NNegative	not uninteresting	0.84	8	English	1	36	Female	3	37	true	negative	uninteresting
6	positive	rich	0.75	9	English	1	36	Female	3	37	false	positive	rich
7	NPositive	not friendly	0.62	10	English	1	36	Female	3	37	true	positive	friendly
8	NPositive	not satisfactory	0.49	11	English	1	36	Female	3	37	true	positive	satisfactory
9	negative	rude	0.31	12	English	1	36	Female	3	37	false	negative	rude
10	NNegative	not impossible	0.66	13	English	1	36	Female	3	37	true	negative	impossible
11	NNegative	not unhappy	0.66	14	English	1	36	Female	3	37	true	negative	unhappy
12	negative	bad	0.7	15	English	1	36	Female	3	37	false	negative	bad
13	NPositive	not fair	0.52	16	English	1	36	Female	3	37	true	positive	fair
14	NNegative	not short	0.41	17	English	1	36	Female	3	37	true	negative	short
15	negative	useless	0.73	18	English	1	36	Female	3	37	false	negative	useless
16	negative	impolite	0.5	19	English	1	36	Female	3	37	false	negative	impolite
17	positive	strong	0.52	20	English	1	36	Female	3	37	false	positive	strong
18	NPositive	not happy	0.68	21	English	1	36	Female	3	37	true	positive	happy
19	NPositive	not kind	0.59	22	English	1	36	Female	3	37	true	positive	kind
0	negative	mean	0.22	3	English 	2	29	Female	4	38	false	negative	mean
1	positive	tall	0.21	4	English 	2	29	Female	4	38	false	positive	tall
2	positive	strong	0.13	5	English 	2	29	Female	4	38	false	positive	strong
3	positive	useful	0.59	6	English 	2	29	Female	4	38	false	positive	useful
4	NPositive	not lucky	0.16	7	English 	2	29	Female	4	38	true	positive	lucky
5	positive	rich	0.24	8	English 	2	29	Female	4	38	false	positive	rich
6	NPositive	not good	0.59	9	English 	2	29	Female	4	38	true	positive	good
7	NPositive	not friendly	0.56	10	English 	2	29	Female	4	38	true	positive	friendly
8	NNegative	not inaccurate	0.22	11	English 	2	29	Female	4	38	true	negative	inaccurate
9	NNegative	not impolite	0.6	12	English 	2	29	Female	4	38	true	negative	impolite
10	negative	frustrating	0.31	13	English 	2	29	Female	4	38	false	negative	frustrating
11	NPositive	not polite	0.57	14	English 	2	29	Female	4	38	true	positive	polite
12	NNegative	not uninteresting	0.32	15	English 	2	29	Female	4	38	true	negative	uninteresting
13	positive	certain	0.35	16	English 	2	29	Female	4	38	false	positive	certain
14	NPositive	not fair	0.34	17	English 	2	29	Female	4	38	true	positive	fair
15	positive	possible	0.71	18	English 	2	29	Female	4	38	false	positive	possible
16	positive	long	0.65	19	English 	2	29	Female	4	38	false	positive	long
17	NNegative	not unsatisfactory	0.39	20	English 	2	29	Female	4	38	true	negative	unsatisfactory
18	negative	sad	0.35	21	English 	2	29	Female	4	38	false	negative	sad
19	positive	happy	0.23	22	English 	2	29	Female	4	38	false	positive	happy
0	negative	short	1.0	3	English	2	41	Male	4	39	false	negative	short
1	negative	sad	0.06	4	English	2	41	Male	4	39	false	negative	sad
2	positive	satisfactory	1.0	5	English	2	41	Male	4	39	false	positive	satisfactory
3	NPositive	not accurate	0.0	6	English	2	41	Male	4	39	true	positive	accurate
4	NNegative	not rude	0.01	7	English	2	41	Male	4	39	true	negative	rude
5	positive	kind	1.0	8	English	2	41	Male	4	39	false	positive	kind
6	positive	rich	0.0	9	English	2	41	Male	4	39	false	positive	rich
7	NPositive	not strong	0.0	10	English	2	41	Male	4	39	true	positive	strong
8	negative	useless	1.0	11	English	2	41	Male	4	39	false	negative	useless
9	negative	unhappy	0.0	12	English	2	41	Male	4	39	false	negative	unhappy
10	NPositive	not possible	0.0	13	English	2	41	Male	4	39	true	positive	possible
11	positive	polite	1.0	14	English	2	41	Male	4	39	false	positive	polite
12	negative	unlucky	1.0	15	English	2	41	Male	4	39	false	negative	unlucky
13	NPositive	not friendly	1.0	16	English	2	41	Male	4	39	true	positive	friendly
14	positive	satisfactory	0.0	17	English	2	41	Male	4	39	false	positive	satisfactory
15	NNegative	not short	0.84	18	English	2	41	Male	4	39	true	negative	short
16	NNegative	not uncertain	0.14	19	English	2	41	Male	4	39	true	negative	uncertain
17	NNegative	not unfair	1.0	20	English	2	41	Male	4	39	true	negative	unfair
18	NNegative	not bad	1.0	21	English	2	41	Male	4	39	true	negative	bad
19	NPositive	not interesting	0.99	22	English	2	41	Male	4	39	true	positive	interesting
0	NPositive	not good	0.96	3	english	1	23	Male	1	40	true	positive	good
1	NPositive	not polite	1.0	4	english	1	23	Male	1	40	true	positive	polite
2	positive	tall	0.0	5	english	1	23	Male	1	40	false	positive	tall
3	negative	sad	0.0	6	english	1	23	Male	1	40	false	negative	sad
4	NPositive	not fair	1.0	7	english	1	23	Male	1	40	true	positive	fair
5	positive	kind	0.0	8	english	1	23	Male	1	40	false	positive	kind
6	NPositive	not certain	1.0	9	english	1	23	Male	1	40	true	positive	certain
7	NNegative	not impolite	1.0	10	english	1	23	Male	1	40	true	negative	impolite
8	positive	strong	0.0	11	english	1	23	Male	1	40	false	positive	strong
9	positive	friendly	0.0	12	english	1	23	Male	1	40	false	positive	friendly
10	NNegative	not frustrating	1.0	13	english	1	23	Male	1	40	true	negative	frustrating
11	positive	happy	0.0	14	english	1	23	Male	1	40	false	positive	happy
12	negative	uninteresting	0.0	15	english	1	23	Male	1	40	false	negative	uninteresting
13	positive	satisfactory	0.0	16	english	1	23	Male	1	40	false	positive	satisfactory
14	NNegative	not unlucky	1.0	17	english	1	23	Male	1	40	true	negative	unlucky
15	NNegative	not short	1.0	18	english	1	23	Male	1	40	true	negative	short
16	NPositive	not possible	1.0	19	english	1	23	Male	1	40	true	positive	possible
17	negative	useless	0.0	20	english	1	23	Male	1	40	false	negative	useless
18	NPositive	not accurate	1.0	21	english	1	23	Male	1	40	true	positive	accurate
19	NNegative	not poor	1.0	22	english	1	23	Male	1	40	true	negative	poor
0	NPositive	not satisfactory	0.95	3	English	2	33	Male	3	41	true	positive	satisfactory
1	NNegative	not unhappy	0.97	4	English	2	33	Male	3	41	true	negative	unhappy
2	NPositive	not polite	0.99	5	English	2	33	Male	3	41	true	positive	polite
3	negative	bad	0.94	6	English	2	33	Male	3	41	false	negative	bad
4	negative	unfriendly	0.94	7	English	2	33	Male	3	41	false	negative	unfriendly
5	NNegative	not unfair	0.96	8	English	2	33	Male	3	41	true	negative	unfair
